date,home_team,away_team,winner,first_shooter
2012-06-27,178,212,212,212
2012-08-25,322,321,321,-1
2012-09-02,101,40,101,-1
2012-09-29,340,138,340,-1
2012-10-13,236,251,251,-1
2012-11-21,11,32,32,11
2013-01-23,218,164,218,-1
2013-02-02,208,135,135,208
2013-02-06,37,83,37,83
2013-06-27,212,108,212,108
2013-06-30,242,108,108,242
2013-07-13,252,132,252,-1
2013-07-14,7,123,123,-1
2013-07-17,251,208,251,-1
2014-05-05,321,286,286,-1
2014-05-29,121,69,121,69
2014-06-04,318,268,268,-1
2014-06-04,359,362,359,-1
2014-06-05,354,318,354,-1
2014-06-05,306,362,362,-1
2014-06-07,354,362,354,-1
2014-06-08,350,359,350,-1
2014-06-28,32,46,32,32
2014-06-29,53,85,53,53
2014-07-05,155,53,155,53
2014-07-09,155,11,11,155
2015-01-23,103,104,104,103
2015-01-23,111,238,238,111
2015-01-30,314,13,13,-1
2015-02-07,67,59,59,67
2015-02-08,109,83,109,83
2015-05-24,251,152,152,-1
2015-05-24,208,30,30,-1
2015-05-25,150,132,150,-1
2015-05-27,208,132,132,-1
2015-06-21,359,344,359,-1
2015-06-26,11,50,11,50
2015-06-27,32,173,173,32
2015-07-02,84,2,2,-1
2015-07-04,46,11,46,46
2015-07-19,229,171,171,171
2015-07-25,240,171,171,240
2015-10-13,66,90,90,-1
2016-05-27,280,284,284,-1
2016-06-01,357,304,304,-1
2016-06-02,362,354,354,-1
2016-06-03,29,60,29,-1
2016-06-03,224,220,224,-1
2016-06-03,247,98,247,-1
2016-06-03,362,361,361,-1
2016-06-03,286,358,358,-1
2016-06-04,357,362,357,357
2016-06-05,318,287,318,-1
2016-06-11,172,158,158,158
2016-06-17,174,50,50,50
2016-06-18,152,30,30,-1
2016-06-18,208,123,208,-1
2016-06-19,251,291,291,-1
2016-06-22,30,59,30,-1
2016-06-25,219,177,177,219
2016-06-26,11,46,46,46
2016-06-30,177,178,178,178
2016-07-02,82,108,82,108
2016-08-01,344,312,344,-1
2017-01-11,46,54,46,-1
2017-01-14,47,54,47,-1
2017-01-28,197,40,40,197
2017-02-01,37,65,65,65
2017-06-09,312,359,312,-1
2017-06-09,354,318,354,-1
2017-06-10,304,354,354,-1
2017-06-28,178,46,46,46
2017-06-29,364,267,267,-1
2017-06-29,86,309,86,-1
2017-07-01,152,123,123,-1
2017-07-07,223,123,223,-1
2017-07-16,224,21,224,-1
2018-03-21,208,7,208,-1
2018-03-21,251,252,251,-1
2018-03-22,224,79,224,-1
2018-03-24,7,252,7,-1
2018-06-02,251,152,251,-1
2018-06-03,6,42,42,-1
2018-06-03,208,131,131,-1
2018-06-03,252,30,252,-1
2018-06-05,347,331,331,-1
2018-06-06,123,252,252,-1
2018-06-09,330,357,357,-1
2018-06-09,287,289,287,-1
2018-06-09,354,266,354,-1
2018-06-09,304,312,312,-1
2018-07-01,184,212,184,212
2018-07-01,54,60,54,60
2018-07-03,50,298,298,50
2018-07-07,184,54,54,184
2019-01-20,113,247,247,247
2019-01-21,14,243,14,14
2019-03-23,167,202,167,-1
2019-05-11,91,112,112,-1
2019-06-01,123,236,123,-1
2019-06-02,208,30,30,-1
2019-06-02,251,132,251,-1
2019-06-04,208,236,208,-1
2019-06-05,252,251,251,-1
2019-06-06,318,361,361,-1
2019-06-06,268,282,268,-1
2019-06-07,123,252,252,-1
